main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolite	Amino Acid	F3377	Sigma-Aldrich	C03145	439750	PYUSHNKNPOHWEZ-YFKPBYRVSA-N	N-Formyl-L-methionine	4289-98-9	C6H11NO3S	177.0460	178.0532	N/A	N/A	200.0337	149.53	0.10	176.0387	140.73	0.04	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolite	Amino Acid	H6886	Sigma-Aldrich	C02886	97536	HXJDWCWJDCOHDG-RYUDHWBXSA-N	S-Hexyl-glutathione	24425-56-7	C16H29N3O6S	391.1777	392.1827	203.20	0.56	414.1675	N/A	N/A	390.1695	191.87	0.15	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolite	Amino Acid	A1131	Sigma-Aldrich	C01262	112072	MYYIAHXIVFADCU-QMMMGPOBSA-N	L-Anserine	584-85-0	C10H16N4O3	240.1222	241.1292	155.97	0.04	263.1099	159.77	0.07	239.1155	158.73	0.04	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	A3131	Sigma-Aldrich	C00216	66308	PYMYPHUHKUWMLA-WDCZJNDASA-N	D-Arabinose	10323-20-3	C5H10O5	150.052821	151.060097	N/A	N/A	173.042039	143.2659806	0.9	149.045545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	A3256	Sigma-Aldrich	C00259	439195	SRBFZHDQGSBBOR-HWQSCIPKSA-N	L-Arabinose	87-72-9	C5H10O5	150.052821	151.060097	N/A	N/A	173.042039	141.8584552	0	149.045545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	R7500	Sigma-Aldrich	C00121	5779	HMFHBZSHGGEWLO-SOOFDHNKSA-N	D-(-)-Ribose	50-69-1	C5H10O5	150.052821	151.060097	N/A	N/A	173.042039	137.6023664	0.183873221	149.045545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	75436	Sigma-Aldrich	C00508	644111	ZAQJHHRNXZUBTE-UCORVYFPSA-N	L-Ribulose	2042-27-5	C5H10O5	150.052821	151.060097	N/A	N/A	173.042039	132.8100774	0.672838336	149.045545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	X4625	Sigma-Aldrich	C00310	5289590	ZAQJHHRNXZUBTE-WUJLRWPWSA-N	D-Xylulose	551-84-8	C5H10O5	150.052821	151.060097	N/A	N/A	173.042039	141.7579176	0.309141769	149.045545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	X1500	Sigma-Aldrich	C00181	135191	SRBFZHDQGSBBOR-IOVATXLUSA-N	D-(+)-Xylose	58-86-6	C5H10O5	150.052821	151.060097	N/A	N/A	173.042039	132.0728022	0.158462268	149.045545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	F2252	Sigma-Aldrich	C01019	17106	SHZGCJCMOBCMKK-DHVFOXMCSA-N	6-Deoxy-L-galactose	2438-80-4	C6H12O5	164.0684702	165.0762948	N/A	N/A	187.0582402	147.3209943	0.07880122	163.0606456	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
